,X,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
1,2473340,Down and Out,cartmanbath,1,277178.9,459941.3,ERANGEL,2U4GBNA0YmkkUo64-hzFwhPY763MmMhxXQc_WmIDJyIN9HJb6oXG5PuNR0jtGMR1,1896,koreabuon,4,273277.6,459966.9
2,3320720,M16A4,TKraems,28,386570.1,729760.1,ERANGEL,2U4GBNA0YmkFnnUMxaD03T8A9j0g-mcZxYx4Ic5OBdZ5TUk0aCwQv3lVSIHonBoG,927,KUCUKONER,34,384073.8,728191.3
3,7699853,Down and Out,usukmydic,1,254238,317388,ERANGEL,2U4GBNA0YmlXk1v5ZQDCIXWAQtK6LIxLAA_mQWxoAXp8Fr_mRydwqrkYoNttbwMg,1138,kobe2bryant4,12,248110.1,319366.9
4,8683707,Down and Out,0oChicken_wingo0,3,591866.4,470320.3,ERANGEL,2U4GBNA0YmkuwE34tm5-QY3C-A0_rB6YP6M_W2ujOGsqqoL_3qcvWqOaH3q_l8Sp,563,U9duoduo,32,591445.4,470791.3
5,8499779,AKM,BiuMoGu,32,459275.5,628732.4,ERANGEL,2U4GBNA0Ymkpw7jGzVnGqigtTQ-O2Ax2nxAAhQsys0ARxuBeVJ2FEGF9H5EKFltT,336,DuLiTuan_YunLong,35,459362.6,629068.6
6,5124016,Micro UZI,Critical_,27,421906.1,323692.9,ERANGEL,2U4GBNA0Ymm6qJJIJk7gHEeYVnfgS5cJ6y-hoxXk28IICZK1DyI7GSrsyEhoH388,233,Leightoncy,32,422456.3,323989.6
7,7642934,M16A4,xD-UB,5,422665.4,327869.5,ERANGEL,2U4GBNA0Ymnuezdv2wWoXKlfNDdw6OtWmi3j4TVBk2tsQE4B88jYv37awy-cly_X,195,douyuTV258369,30,422719.8,330229.5
8,10253364,SCAR-L,Gbr1,1,418096.8,477697.2,ERANGEL,2U4GBNA0YmmnAnVKSPBDYItKVLi5Twg_ogglErjHL4JiI3y34A-R9fsp4qfQm0FJ,922,FakeWorld,19,416501.2,460093.3
9,9873886,Down and Out,PrimeGravity,9,343569.2,314284.9,ERANGEL,2U4GBNA0YmkXrzITE2s0B7rcpiqf_fHInJe-yIlU0bDnm2mMlawbcjFVG4n-ckaO,244,illcallYOUdaddy,19,343097.3,313625.4
10,4715814,AKM,hoodador,7,366349.9,411169.7,ERANGEL,2U4GBNA0YmlXDTWUlw-rLCt9G1mpp_UgJF7YM5cYv-dxBvmmpjY9NnMm5Xwny5MU,259,nonfuchaoji,10,366291.6,411590.8
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2486590,S1897,ImmunityLove,36,437753,639001,ERANGEL,2U4GBNA0YmkyZS23yeqmnykA1qzWeNnjlyo2yQSzpKIJXMaclyVhzn3huPlJSiRJ,145,Mccluo,47,437330.2,638819.5
13,7323965,AKM,muxiaoxiTV-daxia,23,424864.9,221043.8,ERANGEL,2U4GBNA0YmkZ-2IzuD2ZG8P8tCsTSpW7SoOvXxt0K1_HivJNc2CfYTs73Omq6cHs,676,Assassin_86111,33,418962.4,213506.1
14,10124699,Tommy Gun,Diordi,2,441374.3,471474.8,ERANGEL,2U4GBNA0YmlDcduHuACiwfHkqnTLrpqxRjMXzlXYH6ITtloDwzB40DQSaICSmnuq,1767,Asdian,4,440366.7,471825.8
15,3987937,Punch,cRysTaL930110,3,210666.3,272234.5,ERANGEL,2U4GBNA0Ymn2TAUISD57qwCkjHz0fK6XfoJzfznZonDPf9nkds3e-cHS2mec0kkr,114,hizlzl,28,210567.7,272293.4
16,6248371,SCAR-L,CodeMarco,4,420932.9,240278.4,ERANGEL,2U4GBNA0YmkmQtrDEKZ8-CnywQsdQgM0PkBCEnFWsxUKUq_71GM-BM63SMAwjTbt,1486,Zoomyl,8,421143.2,242290.1
17,657571,AKM,Tomayo,18,354120.4,407283.7,ERANGEL,2U4GBNA0YmlCmoZwRKNXrkew8pzL3SX3LwQ0oxcJnAxjdvx-4WW5DZanJx2I2kxR,208,Babyyiyi520,11,354003.8,407442.7
18,741989,Down and Out,BWtuf,6,120354.1,122885.1,ERANGEL,2U4GBNA0Ymnr775nZLpfSsZ_1W6Vic8Ug4iQiuel0HIK4WkWfi1_Pf6_4GYA6QHJ,335,GGFLYing110,20,120637.3,122574.6
19,5429789,Down and Out,OCNewMoon,8,551904.9,561670,ERANGEL,2U4GBNA0YmkaEF1U0toDsBhGKf0Bjs2Pdku09dahL1LRkhrdVf2uGGMyYbEeU0a1,637,lMavell,13,552012.3,561122.8
20,437447,Kar98k,Quy_TsT,3,603856.6,134183.3,ERANGEL,2U4GBNA0Ymmxqq3JQgFeG4-hdDXFysCea-D5qJh5isxkKS2rnKGVc1eYbyP2QUPF,1561,Esspee-,4,597281,134276.2
21,4007260,AKM,PostalParcel,1,135625.2,304114,ERANGEL,2U4GBNA0YmlNjMOooptAzRnHgqVGjL2yFFH4M3ijn0mSryxJTgTqtOXPVDcMIO8J,1625,yangsiying7777,6,128003.3,323402.8
22,1066280,M16A4,SweetAAAAA,11,567659.9,351978.3,ERANGEL,2U4GBNA0YmkzbtRN0WiSOKrVTfRuT6vNYsRlH4aRPYIIzlaZzprofTbNTGoPt_QW,661,Petrichor_ll,19,567515.4,351134.5
23,527231,S12K,Champloo-,1,416942.7,326444.4,ERANGEL,2U4GBNA0YmlqJ_HIg_CXdYOmWRF1IuJ-MtEnP1cH-YlIpGk7yvfkPUYMgU2lQyyw,167,luckychicken233,43,416981.9,326387.9
24,5284397,M416,TOPSB,7,490431,443178.3,ERANGEL,2U4GBNA0YmnXNcJcEmu5NWg0adCeZ09PClZppN3OmwU0Z13mqpAvjNEeyT94MjhC,815,xuejingwei111,13,488856.7,439207.5
25,4923553,Mini 14,lollajiyouxi01,35,164637.6,276678.5,ERANGEL,2U4GBNA0Ymlwu6oJq9X0B4xfKpWPpcDRBSib2XeMEKFKYm4DUk3CbZvc9wRgnti6,199,YanzuZi,41,164739.1,276001.9
26,7315461,M416,hanzo830,1,463983.9,235164.2,ERANGEL,2U4GBNA0YmkPdM8cFFtu633tUR_-qzd71-q99kN7e9e-uQf4_jyWksKS_p6IS3vF,1449,ShenWieB,8,465218.2,234418.9
27,6550971,Mini 14,Reinyku,21,444580.8,442186.2,ERANGEL,2U4GBNA0Ymn2s7qixkriI1f9XFB2j1-Sua-j3mPTNEVIsu1oAr7wFCjtARtD3ObT,560,eccandsec,22,443192.2,446141.7
28,5125677,M416,tangdiiii,3,614667.9,486720,ERANGEL,2U4GBNA0YmlP33WqsPKdTY1xmN8adwzOCoqM_-0fAVFplYZaFVgYXLxV6dZSIioB,474,16_show,32,614775.1,486814.8
