"","killed_by","killer_name","killer_placement","killer_position_x","killer_position_y","map","match_id","time","victim_name","victim_placement","victim_position_x","victim_position_y"
"1","SCAR-L","854545656",1,366716.6,302736.6,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",1059,"SmileyRiley",32,366591.3,302851.8
"2","AKM","chane_e",57,436041.6,276913.3,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",109,"bonesaw53",85,434867.2,276258.3
"3","Hit by Car","LY0629",42,265942.7,404094.2,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",624,"Robi256",44,265409.5,403900.4
"4","SKS","Supramida",6,339174.6,258929,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",1450,"Senorbotches",14,331995.5,253868.1
"5","M416","scopionzy",3,289848.4,290939,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",1296,"lukesteeler",24,290196.1,291358.5
"6","M416","CkYong",28,442346.3,241735.7,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",949,"Hasamalickem",34,442369.5,240785
"7","Punch","kinjazzy",20,162442.7,746283.9,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",130,"BUBPHACHART13",80,162481.9,746353.8
"8","S1897","19981019Z",46,474134.9,264956.8,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",224,"2KaySeR2",65,474685.3,265085.1
"9","SCAR-L","bishouguai",5,339035.7,269836.5,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",1659,"Supramida",6,336967,267326.9
"10","AKM","chane_e",57,435756.9,279970.1,"MIRAMAR","2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME",79,"Zaaiky",95,436236.6,280055.1
